codigoEE,codigoMI,direccion
MA0101,MA0101,1
CI0205,,
MA1102,MA1102,1
FI1101,FI1101,1
FI1201,FI1201,1
QU1902,QU1106;QU1107,0
CI1106,CI1106,1
EE0107,MI2101,1
EE0108,MI4300,0
MA1103,MA1103,1
FI1102,FI1102,1
FI1202,FI1202,1
CA0205,CA2125,0
CI1107,CI1107,1
EE0207,MI2106,1
CS2303,CS2303,1
CS1502,CS1502,1
MA2105,MA2105,1
FI2103,FI2103,1
EE0303,MI2205,1
EE0304,MI2202,1
EE0305,,
EE0307,MI3117,1
CS3404,CS3404,1
SE1100,SE1100,1
MA2104,MA2104,1
CM3207,CM3207,1
EE0403,MI2207,1
EE0404,MI2204,1
EE0405,,
EE0407,MI3130,1
CS4402,CS4402,1
SE1200,SE1200,1
AE4208,AE4208,1
PI0502,PI2609,1
EE0503,MI3209;MI4209,0
EE0504,,
ME2208,ME3208;ME3209,0
EE0507,MI3103,1
EE0508,MI3104,1
CI3202,CI1230;CI1231,0
EE0602,MI4300;MI4305,0
EE0604,MI3209;MI4209,0
EE0605,MI3115,1
CM4108,CM4108,1
EE0607,MI3108,1
EE0608,MI3111,1
EE0609,MI3124,1
EE0701,MI6253,1
EE0702,MI2207;MI3210,0
EE0703,MI3206,1
EE0704,MI6255,1
EE0705,,
EE0706,MI4136,1
EE0707,,
EE0708,,
EE0802,MI3210;MI5215,
EE0803,MI3210;MI5215,
EE0804,MI4209;MI5411,0
EE0805,MI6255;MI4210,0
SE1400,SE1400,1
EE4801,MI5215,1
EE4806,MI4212,1
EE4807,MI3116;MI5135,0
EE4808,MI4300;MI4305,0
EE4901,,
EE4903,MI4126;MI5152,0
EE4904,MI4127,0
EE1101,,
EE4906,MI3116,1
EE4907,MI3119,1
EE4908,MI4129,1
EE4909,MI4125,1
EE5003,MI6153,1
EE1102,,
EE5006,MI4305;MI6351,0
EE5007,MI6252,1
EE5201,MI6258,1
EE5202,MI6254,1
EE5203,,
EE6801,,
EE0806,,
EE6807,,
EE6808,,
EE6901,,
EE6902,,
EE6903,,
EE1101,,
EE6906,,
EE6908,,
EE7001,,
EE7002,,
EE7003,,
EE1102,,
EE7201,,
EE7202,,
EE7203,,
EE8104,,
EE0806,,
EE8807,,
EE8808,,
EE8901,,
EE8902,,
EE8903,,
EE1101,,
EE8906,,
EE8907,,
EE9001,,
EE9002,,
EE1102,,
EE9007,,
EE9201,,
EE9202,,
EE9302,,
